Subject,Session,Folder,File
sub-GW12539,ses-202405031,anat,sub-GW12539_ses-202405031_run-1_T2w
sub-GW12539,ses-202405031,func,sub-GW12539_ses-202405031_task-rest_dir-AP_run-1_bold
sub-GW12539,ses-202405031,func,sub-GW12539_ses-202405031_task-rest_dir-AP_run-2_bold
sub-GW12539,ses-202405031,func,sub-GW12539_ses-202405031_task-rest_dir-PA_run-1_bold
sub-GW12539,ses-202405031,func,sub-GW12539_ses-202405031_task-rest_dir-PA_run-2_bold
sub-GW26388,ses-202404261,anat,sub-GW26388_ses-202404261_run-1_T1w
sub-GW26388,ses-202404261,anat,sub-GW26388_ses-202404261_run-1_T2w
sub-GW26388,ses-202404261,func,sub-GW26388_ses-202404261_task-rest_dir-AP_run-1_bold
sub-GW26388,ses-202404261,func,sub-GW26388_ses-202404261_task-rest_dir-AP_run-2_bold
sub-GW26388,ses-202404261,func,sub-GW26388_ses-202404261_task-rest_dir-PA_run-1_bold
sub-GW26388,ses-202404261,func,sub-GW26388_ses-202404261_task-rest_dir-PA_run-2_bold
sub-GW28603,ses-202405311,anat,sub-GW28603_ses-202405311_run-1_T1w
sub-GW28603,ses-202405311,anat,sub-GW28603_ses-202405311_run-1_T2w
sub-GW28603,ses-202405311,func,sub-GW28603_ses-202405311_task-rest_dir-AP_run-1_bold
sub-GW28603,ses-202405311,func,sub-GW28603_ses-202405311_task-rest_dir-AP_run-2_bold
sub-GW28603,ses-202405311,func,sub-GW28603_ses-202405311_task-rest_dir-PA_run-1_bold
sub-GW28603,ses-202405311,func,sub-GW28603_ses-202405311_task-rest_dir-PA_run-2_bold
sub-GW42922,ses-202403081,anat,sub-GW42922_ses-202403081_run-1_T1w_heudiconv221
sub-GW51359,ses-202405171,anat,sub-GW51359_ses-202405171_run-1_T1w
sub-GW51359,ses-202405171,anat,sub-GW51359_ses-202405171_run-1_T2w
sub-GW51359,ses-202405171,func,sub-GW51359_ses-202405171_task-rest_dir-AP_run-1_bold
sub-GW51359,ses-202405171,func,sub-GW51359_ses-202405171_task-rest_dir-AP_run-2_bold
sub-GW51359,ses-202405171,func,sub-GW51359_ses-202405171_task-rest_dir-PA_run-1_bold
sub-GW51359,ses-202405171,func,sub-GW51359_ses-202405171_task-rest_dir-PA_run-2_bold
sub-GW63477,ses-202405171,anat,sub-GW63477_ses-202405171_run-1_T1w
sub-GW63477,ses-202405171,anat,sub-GW63477_ses-202405171_run-1_T2w
sub-GW63477,ses-202405171,func,sub-GW63477_ses-202405171_task-rest_dir-AP_run-1_bold
sub-GW63477,ses-202405171,func,sub-GW63477_ses-202405171_task-rest_dir-AP_run-2_bold
sub-GW63477,ses-202405171,func,sub-GW63477_ses-202405171_task-rest_dir-PA_run-1_bold
sub-GW63477,ses-202405171,func,sub-GW63477_ses-202405171_task-rest_dir-PA_run-2_bold
sub-GW63683,ses-202405311,anat,sub-GW63683_ses-202405311_run-1_T2w
